configuration,use_pca,use_smote,use_kmeans,use_ensemble,fold,train_samples,test_samples,model,accuracy,precision,recall,f1,roc_auc
Without K-Means,True,True,False,True,5,1494180,36579,SVM,0.9550561797752809,0.9713313337452391,0.9550561797752809,0.959056081187786,0.9899323728127696
Without K-Means,True,True,False,True,5,1494180,36579,Hybrid Ensemble,0.9914978539599224,0.9921107752619208,0.9914978539599224,0.9916645503952438,0.9965994813151015
Without K-Means,True,True,False,True,6,1494180,36579,Decision Tree,0.987315126165286,0.9891834462412249,0.987315126165286,0.9878909218420214,0.9938990312022566
Without K-Means,True,True,False,True,6,1494180,36579,Random Forest,0.9920446157631427,0.9924716761663248,0.9920446157631427,0.9921561593301919,0.9979755352507379
Without K-Means,True,True,False,True,6,1494180,36579,SVM,0.9572432269881626,0.971001982277946,0.9572432269881626,0.9612408360121372,0.9897550525213527
Without K-Means,True,True,False,True,6,1494180,36579,Hybrid Ensemble,0.9911971349681511,0.9918612412841165,0.9911971349681511,0.9913669126055371,0.9962241422485534
Without K-Means,True,True,False,True,7,1494180,36579,Decision Tree,0.98581153120643,0.9881897264121534,0.98581153120643,0.9865621237251272,0.994002926259138
Without K-Means,True,True,False,True,7,1494180,36579,Random Forest,0.9919079253123377,0.9923457852006392,0.9919079253123377,0.9920260232648388,0.9979398134772326
Without K-Means,True,True,False,True,7,1494180,36579,SVM,0.956477760463654,0.970437706788381,0.956477760463654,0.9607703301565305,0.9903859353630903
Without K-Means,True,True,False,True,7,1494180,36579,Hybrid Ensemble,0.991142458787829,0.9917660562388504,0.991142458787829,0.991308383743731,0.9966510282977363
Without K-Means,True,True,False,True,8,1494180,36579,Decision Tree,0.9863856310998114,0.9888208089775153,0.9863856310998114,0.9871418979757063,0.994021552416659
Without K-Means,True,True,False,True,8,1494180,36579,Random Forest,0.9925367013860412,0.9929468290220432,0.9925367013860412,0.9926440557968625,0.9985639404385828
Without K-Means,True,True,False,True,8,1494180,36579,SVM,0.9589655266683069,0.9716584404226799,0.9589655266683069,0.9628740666972252,0.990009293019435
Without K-Means,True,True,False,True,8,1494180,36579,Hybrid Ensemble,0.9920446157631427,0.9925969467456819,0.9920446157631427,0.9921828066111621,0.9974411537364195
Without K-Means,True,True,False,True,9,1494180,36578,Decision Tree,0.9876155065886598,0.9893782124527352,0.9876155065886598,0.9881706232227794,0.9943681712270642
Without K-Means,True,True,False,True,9,1494180,36578,Random Forest,0.9924271419979223,0.9928134852781008,0.9924271419979223,0.9925301146319438,0.9977362156240905
Without K-Means,True,True,False,True,9,1494180,36578,SVM,0.9591010990212696,0.971523617147844,0.9591010990212696,0.9627772993161435,0.9896045886137952
